code,description,qty_out
CUT006,Cutting Disk Diamond 4,22.0
CUT007,Cutting Disk Diamond 7,7.0
CUT008,Cutting Disk Diamond 9,17.0
CUT009,Cutting Disk Metal 4,2.0
CUT010,Grinding Disk 7.,46.0
CUT011,Cutting Disk Metal 9,74.0
CUT012,Cutting Disk Slim 4,38.0
CUT013,Cutting Disk Slim 9,276.0
CUT015,Cutting Disk Metal 7,5.0
CUT016,Cutting Disk Damond Continuous 4,3.0
CUT018,Cutting Disk Damond Continuous 9,3.0
CYP001,Syphone,5.0
CYP003,Syphon Top Flush,1.0
CYP012,Cypress 8x1,7.0
D 1001,D 10,6086.0
D 1002,D 12,3291.0
D 1003,D 16,1780.0
D 2001,D 20,923.0
D 2002,D 25,209.0
D 3001,D 32,66.0
D 8001,D 8,6225.0
D/E002,D/E Matt Black 4l,1.0
D/E004,D/E Matt Brilliant White 1l,1.0
D/E008,D/E Sf Brill White 20l,12.0
D/E009,D/E Sf Brill White 4l,15.0
D/E010,D/E Sf Brilliant White 1l,1.0
D/E014,D/E Silk White 1l,1.0
D/G001,D/G Aquagloss White 1l,1.0
D/G003,D/G Black 4l,1.0
D/G010,D/G Undercoat 1l,1.0
D/S004,D/Sanding Sealer 4l,1.0
D16003,D 16-Kifaru,733.0
DAM001,Variance/DG Goods Sold,1.0
DAR001,Dari,2.0
DAY011,Dayliff Chlorine65-5kgs,2.0
DEW006,Dewalt Circula Saw 1500w-190mm,1.0
DEW010,"Dewalt Grinding Disk4""",1.0
DEW011,"Dewalt Slim cutting4""",4.0
DEW017,Dewalt Hilt Bit 7mm,3.0
DGB001,D/G White 4L,4.0
DGC001,D/G Clear High Gloss 1 Ltr,2.0
DGW001,D/G White 1l,6.0
DHO001,Dhobi Sink,1.0
DOO001,Door Bell Ding Dong,2.0
DOO002,Door Bell Switch,1.0
DOO005,Door Stopper,4.0
DOO006,Door Stopper Steel,4.0
DOV001,Dovetail Tank 1000l Rect,0.0
DOV007,Dovetail Tank 10000l,1.0
DOV011,Dovetail Tank 3000l,0.0
DOV012,Dovetail Tank 5000l,0.0
DOW001,Down Stoppers,19.0
DPC001,Dpc,50.0
DR 003,Dr Fixit Gapseal Tape Mtrs,7.0
DR 004,Dr Fixit Pidiproof 1l,13.0
DR 005,Dr Fixit Pidiproof 20l,5.0
DR 007,Dr Fixit Superlatex 1l,12.0
DR 008,Dr Fixit Superlatex 5kg,15.0
DR 009,Dr Fixit Sureseal 1kg,5.0
DR 010,Dr Fixit Sureseal 5kg,6.0
DR 011,Dr Fixit Modern Tile Adhesive 25kg,416.0
DR 012,Dr Fixit Waterproof Powder,462.0
DRA001,Drain Opener 1kg,2.0
DRA002,Drain Opener 500g,3.0
DRA006,Drawer Handle Small Silver,4.0
DRA011,Drawer Knob Big,0.0
DRA023,Drawer Rail D/Extension 16,5.0
DRA024,Drawer Rail Hydro 18,8.0
DRI002,Drill Bit 10mm,1.0
DRI006,Drill Bit 16mm,1.0
DRI008,Drill Bit 3.5mm,3.0
DRI010,Drill Bit 3mm,6.0
DRI012,Drill Bit 4mm,9.0
DRI013,Drill Bit 5mm,1.0
DRI014,Drill Bit 6mm,12.0
DRI016,Drill Bit 8mm,4.0
DRU002,Drum 220l,3.0
DRU004,Drum 240l,1.0
DU 001,Du Acrylic Sealer 4L,1.0
DUR003,Dura Skim Coat 1kg,17.0
DUR004,Dura Skim Coat 25kg,18.0
DUS002,Dust Mask Plastic,2.0
DUS003,Dust Mask Pcs,13.0
EAR001,Earthrod 4FT,1.0
ELE001,Elec Bend 20mm,4.0
ELE002,Elec Bend 25mm,50.0
ELE003,Elec Bend 32mm,70.0
ELE004,Elec Bend 38mm,8.0
ELE005,Elec Bend 50mm,17.0
ELE006,Elec Cable Flex 1.5mm mtrs,15.0
ELE008,Elec Cable Single 1.5mm red mtrs,42.0
ELE009,Elec Cable Single 1.5mm Black Roll,1.0
ELE010,Elec Cable Single 1.5mm Green Roll,1.0
ELE011,Elec Cable Single 1.5mm Red Roll,5.0
ELE013,Elec Cable Single 2.5mm Red mtrs,50.0
ELE014,Elec Cable Single 2.5mm Black mtrs,54.0
ELE015,Elec Cable Single 2.5mm Green Roll,0.0
ELE016,Elec Cable Single 2.5mm Red Roll,1.0
ELE018,Elec Cable Twin 1.5mm Roll Grey,1.0
ELE026,Elec Top Plug,19.0
ELE031,Elec Cable Single 1.5mm Black mtrs,22.0
ELE033,Elec Cable Single 2.5mm Black Roll,1.0
ELE034,Elec Cable Single 2.5mm Green mtrs,30.0
ELE035,Elec Cable Twin 1.5mm Mtrs,40.0
ELE036,Elec Cable Twin 2.5mm Mtrs,33.0
ELE038,ELEC CABLE FLEX 2.5MM ROLL,1.0
EME001,Emery Cloth No. 0,46.0
EXT005,Extension Socket 4way,1.0
FEV004,Fevicol Pur 1kg,4.0
FEV005,Fevicol Pur 500gm,2.0
FIL001,File 10 jk,10.0
FIL003,File 8 jk,6.0
FIL005,File Saw J.K,3.0
FLA002,Flap Disk 7,1.0
FLA010,Flat 11/2x1/4,11.0
FLA011,Flat 11/2x1/8,20.5
FLA015,Flat 2x1/4,3.0
FLA016,Flat 2x1/8,7.0
FLA018,Flat 3/4x1/8,2.0
FLE001,Flex Conduit 25mm Mtrs,3.0
FLE002,Flex Tube Metallic 1/2x1.5ft,48.0
FLE004,Flex Tube Plastic 1/2x2ft,4.0
FLE008,Flex Tube 1/2x1ft,6.0
FLE009,Flex metallic Tube 1/2x2ft,15.0
FLE012,Flex Tube Metallic 1/2x1ft,7.0
FLE013,Flex conduit 20mm Mtrs,27.0
FLE014,Flex conduit Roll 20mm black,1.0
FLE015,Flex conduit Roll 25mm black,0.0
FLE017,Flex conduit Roll 25mm white,0.0
FLO001,Float Switch,2.0
FLU001,Flusher Plug pkts,2.0
FOO003,Foot Valve 1 peggler,2.0
FOR002,Fork Jembe 1.5LB,2.0
FOR003,Fork Jembe 2.5LB,0.0
FOR004,Fork Jembe 3.5LB,0.0
FOR006,Force Pump Big,1.0
GAT002,Gate Valve 1,1.0
GAT003,Gate Valve 1/2,7.0
GAT004,Gate Valve 11/2,1.0
GAT005,Gate Valve 11/4,7.0
GAT007,Gate Valve 3/4,30.0
GAT008,Gate Valve 1 pegler,8.0
GI 001,Gi Back Nut 1,8.0
GI 002,Gi Back Nut 1/2,2.0
GI 006,Gi Back Nut 3/4,3.0
GI 007,Gi Barrel Nipple 1,1.0
GI 008,Gi Barrel Nipple 1/2,10.0
GI 012,Gi Barrel Nipple 3/4,6.0
GI 014,Gi Bend 1/2,3.0
GI 018,Gi Bend 3/4,1.0
GI 019,Gi Cup Female 1,2.0
GI 020,Gi Cup Female 1/2,48.0
GI 023,Gi Cup Female 3/4,8.0
GI 025,Gi Elbow 1/2,3.0
GI 029,Gi Elbow 3/4,8.0
GI 030,Gi Hex Nipple 1,1.0
GI 031,Gi Hex Nipple 1/2,95.0
GI 033,Gi Hex Nipple 11/4,1.0
GI 035,Gi Hex Nipple 3/4,7.0
GI 036,Gi Long Thread Nipple 1,4.0
GI 037,Gi Long Thread Nipple 1/2,5.0
GI 041,Gi Long Thread Nipple 3/4,1.0
GI 043,Gi Plug Male 1/2,74.0
GI 045,Gi Plug Male 3/4,20.0
GI 047,Gi Red Bush 11/2x3/4,1.0
GI 051,Gi Red Bush 1x3/4,2.0
GI 056,Gi Red Bush 3/4x1/2,4.0
GI 062,Gi Red Socket 1x3/4,1.0
GI 065,Gi Red Socket 3/4x1/2,1.0
GI 068,Gi Socket 1,5.0
GI 069,Gi Socket 1/2,65.0
GI 073,Gi Socket 3/4,9.0
GI 074,Gi Stand Pipe 1/2x1.5ft,15.0
GI 076,Gi Stand Pipe 1/2x2ft,2.0
GI 077,Gi Stand Pipe 1/2x3ft,4.0
GI 081,Gi Tee 1,1.0
GI 082,Gi Tee 1/2,3.0
GI 088,Gi Tee 3/4,3.0
GI 092,Gi Union 11/4,2.0
GI 095,Gi Union 3/4,8.0
GLA008,Glass Clear 5mm,15.5
GLA012,Glass Flowered 3mm,10.0
GLA013,Glass Gold Bronze 4mm,6.0
GLA015,Glass Mirror 4mm,5.0
GLA023,Glass Tint Grey 4mm,2.0
GLO005,Gloves Leather Hg 14',4.0
GLO007,Gloves Rubber H/G,14.0
GOO001,Gauze Wire Mtrs,51.0
GOO002,Gauze Wire Roll,3.0
GRE002,Grey Oxide Powder 1kg,10.0
GRE003,Green Oxide 1kg,4.0
GRO002,Grout 1kg Cream,7.0
GRO005,Grout 3kg Grey,8.0
GRO006,Grout 3kg White,5.0
GRO015,Grout 1kg Grey-Fuga,52.0
GRO016,Grout 1kg White-Fuga,72.0
GRO017,Grout white-kalekim 3kg,10.0
GRO018,Grout Grey- Kalekim 3kg,5.0
GUM004,Gumboot No 6,1.0
GUM010,Gumboot H/G No 7,2.0
GUM011,Gumboot H/G No 8,2.0
GUM012,Gumboot H/G No 9,2.0
GUM013,Gumboot H/G No 10,1.0
GUT002,Gutter Bracket,75.0
GUT003,Gutter Connector,18.0
GUT008,Gutter Metro,20.0
GUT012,Gutter Stop End,26.0
GUT014,Gutters Outlet,12.0
GYP002,Gypsum Angle Line,36.0
GYP003,Gypsum Board 12mm,13.0
