code,description,qty_out
FLE013,Flex conduit 20mm Mtrs,1.0
FLO007,Flourescent Fitting 4ft,1.0
FLO010,Flourescent Tube 2ft,1.0
FLU001,Flusher Plug pkts,1.0
FOO001,Foot Kamba 30mts,2.0
FOO002,Foot Kamba 50mts,0.0
FOO003,Foot Valve 1 peggler,1.0
FOR002,Fork Jembe 1.5LB,2.0
FOR003,Fork Jembe 2.5LB,6.0
FOR004,Fork Jembe 3.5LB,2.0
FRI001,Fridge Guard,0.0
GAL006,Galvanized Wire 2mm,1.0
GAT003,Gate Valve 1/2,0.0
GAT004,Gate Valve 11/2,1.0
GAT005,Gate Valve 11/4,3.0
GAT006,Gate Valve 2 pegler,0.0
GAT007,Gate Valve 3/4,19.0
GAT008,Gate Valve 1 pegler,11.0
GI 001,Gi Back Nut 1,2.0
GI 006,Gi Back Nut 3/4,6.0
GI 007,Gi Barrel Nipple 1,0.0
GI 008,Gi Barrel Nipple 1/2,5.0
GI 010,Gi Barrel Nipple 11/4,0.0
GI 012,Gi Barrel Nipple 3/4,13.0
GI 020,Gi Cup Female 1/2,40.0
GI 023,Gi Cup Female 3/4,13.0
GI 025,Gi Elbow 1/2,3.0
GI 026,Gi Elbow 11/2,1.0
GI 031,Gi Hex Nipple 1/2,65.0
GI 032,Gi Hex Nipple 11/2,2.0
GI 036,Gi Long Thread Nipple 1,4.0
GI 041,Gi Long Thread Nipple 3/4,3.0
GI 042,Gi Plug Male 1,14.0
GI 043,Gi Plug Male 1/2,13.0
GI 044,Gi Plug Male 11/4,0.0
GI 045,Gi Plug Male 3/4,14.0
GI 050,Gi Red Bush 1x1/2,0.0
GI 056,Gi Red Bush 3/4x1/2,5.0
GI 068,Gi Socket 1,1.0
GI 069,Gi Socket 1/2,6.0
GI 073,Gi Socket 3/4,8.0
GI 074,Gi Stand Pipe 1/2x1.5ft,0.0
GI 077,Gi Stand Pipe 1/2x3ft,1.0
GI 090,Gi Union 1/2,1.0
GI 092,Gi Union 11/4,0.0
GLO004,Gloves Leather H/G,2.0
GLO005,Gloves Leather Hg 14',0.0
GLO007,Gloves Rubber H/G,17.0
GLO008,Gloves Rubber L/G,2.0
GOO001,Gauze Wire Mtrs,21.0
GOO002,Gauze Wire Roll,1.0
GRE003,Green Oxide 1kg,5.0
GRO002,Grout 1kg Cream,3.0
GRO015,Grout 1kg Grey-Fuga,40.0
GRO016,Grout 1kg White-Fuga,31.0
GUM004,Gumboot No 6,1.0
GUM005,Gumboot No 7,1.0
GUM006,Gumboot No 8,1.0
GUM008,Gumboot No 9,1.0
GUM009,Gumboot H/G No 6,1.0
GUM011,Gumboot H/G No 8,1.0
GUM012,Gumboot H/G No 9,1.0
GUT001,Gutter Angle,0.0
GUT002,Gutter Bracket,26.0
GUT003,Gutter Connector,0.0
GUT008,Gutter Metro,2.0
GUT012,Gutter Stop End,7.0
GUT014,Gutters Outlet,2.0
GYP002,Gypsum Angle Line,20.0
GYP006,Gypsum Board Hada,602.0
GYP008,Gypsum Board Moist Resistant,43.0
GYP011,Gypsum Channel,947.0
GYP012,Gypsum Cornice-Plain,135.0
GYP013,Gypsum Corner Bead,156.0
GYP016,Gypsum Fibre Tape,58.0
GYP021,Gypsum Powder 1kg,46.0
GYP022,Gypsum Powder 25kg,63.0
GYP025,Gypsum Screws 1 *1000pcs -Blue esKseAnRtiEaNl,54.0
GYP026,Gypsum Screws 1 Pkt,1.0
GYP027,Gypsum Screws 11/2 Pkt,12.0
GYP028,Gypsum Screws 11/4 Pkt,6.0
GYP029,Gypsum Screws 2 Pkt,3.0
GYP030,Gypsum Screws 3/4 Pkt,2.0
GYP032,Gypsum Screws Assorted,144.0
GYP034,Gypsum Stud,1588.0
GYP036,Gypsum Board Thumb 9mm,17.0
HAC001,Hacksaw Blade,497.0
HAC005,Hacksaw Frame J/K,3.0
HAC006,Hacksaw Frame Orange,4.0
HAM001,Hammer Jk,6.0
HAM002,Hammer Metal,0.0
HAM003,Hammer Rubber 29mm,10.0
HAN003,Handsaw 16,3.0
HAN006,Hard Broom With Handle,21.0
HAN007,Hard Broom Without Handle,11.0
HAN008,Handsaw 16 -Metallic,4.0
HAS005,Hasp Juakali,5.0
HEL001,Helmets Red,19.0
HEL002,Helmets Blue,0.0
HEL003,Helmets white,10.0
HEM001,Hemp,3.0
HIL002,Hilt Bit 12mm,2.0
HIL006,Hilt Bit 8mm,1.0
HIL007,Hilt Bit 10MM,0.0
HIN002,Hinges 1.5- Pairs,6.0
HIN003,Hinges 2- Pairs,2.0
HIN005,Hinges 3- Pairs,30.0
HIN006,Hinges 4- Pairs,21.0
HIN015,Hinges Oxford Brass,33.0
HIN016,Hinges Oxford Silver,8.0
HOO003,Hoop Iron Roll,265.0
HOS007,Hose Clip Hd 3/4,2.0
HOS016,Hose Pipe Braided 3/4x50m,1.0
HOS018,Hose Pipe Clear 1/2x60ft,0.0
HOS019,Hose Pipe Clear 1/4 X 50 Roll(s),5.0
HOS020,Hose Pipe Clear 1/4 (Mtrs),63.0
HOS022,Hose Pipe Clear 3/4x60ft,2.0
INS001,Insulating Tape Black Big,28.0
INS002,InsulatingTape Black Small,27.0
INS004,Insulating Tape Yellow Big,1.0
INS008,Insulating Tape White Big,0.0
INS012,Instant Shower Ener 4t,3.0
INS018,Insulating Tape Green Big,2.0
INS019,Insulating Tape Red Big,5.0
JEM002,Jembe 2.5LB,3.0
JEM003,Jembe 2LB,1.0
JEM004,Jembe 3LB,0.0
JEM005,Jembe Handle,39.0
JUM006,Jumbo Tank 2000l,1.0
JUM009,Jumbo Tank 2500l,1.0
JUM010,Jumbo Tank 3000l,1.0
JUM014,Jumbo Tank 5000l,3.0
JUM017,Jumbo Tank Rect 1000l,1.0
JUM019,Jumbo Tank Rect 500l,2.0
KEN001,KenSeal4KG,1.0
KIF001,Kifagio Big,10.0
KIT010,Kitchen Sink Pamofit DB/SD,1.0
LEA003,Leaf Rake Plastic Big,0.0
LEA004,Leaf Rake Plastic Medium,1.0
LIM001,Lime 25kg,18.0
LIP004,Lipping Mtrs,43.0
LOC003,Lock Flyglobe Silver,4.0
LOC012,Lock Union 2lever brass/gold,8.0
LOC013,Lock Wista W-23615,4.0
LOC015,Lock Wista W-20252,0.0
LOR001,Lordex 1kg,5.0
LOR002,Lordex 300g,2.0
MAC004,Machine Screw 4ba,2.0
MAC005,MACHINE SCREW 2BA PKT,1.0
MAG001,Magic Connector 11/2 CHROME,1.0
MAG002,Magic Connector 11/4 CHROME,2.0
MAG004,Magnetic Socket 10mm,1.0
MAG005,Magnetic Socket 8mm,3.0
MAL001,Malpha Bit,1.0
MAL003,Malpha Hinges Hydraulic,17.0
MAN001,Manhole Cover 12x12,6.0
MAN002,Manhole Cover 15x15,2.0
MAN003,Manhole Cover 18x18,11.0
MAN004,Manhole Cover 18x24,24.0
MAN007,Manilla Roll 100m,8.0
MAN008,Manilla Roll 500m,2.0
MAN009,Manilla Rope 10mm- Mtrs,63.5
MAN013,Manilla Rope 18ply,19.0
MAN014,Manilla Rope 42ply,30.0
MAN017,Manilla Roll 1000m,8.0
MAN020,Manilla rope 10mm roll,0.0
MAN021,Manilla Rope 6mm Rolls,0.0
MAN022,Manilla Rope 8mm Rolls,0.0
MAN023,Manilla Rope 12mm Rolls,0.0
MAR001,Marine Board- Tywood,223.0
MAR002,Marine Board-Zurkit 16mm,11.0
MAR003,Marine Board-Zurkit 18mm,707.0
MAS002,"Masking Tape Welfast 1.5""",2.0
