code,description,qty_out
DRA020,Drawer Rail D/Extension 12,0.0
DRA023,Drawer Rail D/Extension 16,1.0
DRA024,Drawer Rail Hydro 18,3.0
DRA026,Drawer Rail Hydro 12,0.0
DRA028,Drawer Handles Brass 8,27.0
DRF001,Dr Fixit FastFlex 12kg,2.0
DRI002,Drill Bit 10mm,5.0
DRI004,Drill Bit 12mm,2.0
DRI005,Drill Bit 14mm,4.0
DRI006,Drill Bit 16mm,5.0
DRI008,Drill Bit 3.5mm,12.0
DRI009,Drill Bit 3/16mm,4.0
DRI010,Drill Bit 3mm,8.0
DRI012,Drill Bit 4mm,14.0
DRI013,Drill Bit 5mm,6.0
DRI014,Drill Bit 6mm,12.0
DRI016,Drill Bit 8mm,8.0
DRI018,Drill Bit Hilt 10mm,6.0
DRI019,Drill Bit Hilt 12mm,8.0
DRI022,Drill Bit Hilt 8mm,7.0
DRI026,Drill Bit Flat wood,3.0
DRI027,Drill Bit Flat wood Pcs,2.0
DRU002,Drum 220l,8.0
DRU004,Drum 240l,1.0
DUC001,Duct Tape,6.0
DUR004,Dura Skim Coat 25kg,318.0
DUS001,Dust Mask Pkt,7.0
DUS002,Dust Mask Plastic,3.0
DUS003,Dust Mask Pcs,59.0
EAR001,Earthrod 4FT,3.0
EAR002,Earthrod 5FT,1.0
ELE001,Elec Bend 20mm,53.0
ELE002,Elec Bend 25mm,68.0
ELE003,Elec Bend 32mm,151.0
ELE004,Elec Bend 38mm,19.0
ELE005,Elec Bend 50mm,22.0
ELE006,Elec Cable Flex 1.5mm mtrs,65.0
ELE007,Elec Cable Flex 2.5mm mtrs,170.0
ELE008,Elec Cable Single 1.5mm red mtrs,1.0
ELE009,Elec Cable Single 1.5mm Black Roll,2.0
ELE010,Elec Cable Single 1.5mm Green Roll,1.0
ELE011,Elec Cable Single 1.5mm Red Roll,2.0
ELE013,Elec Cable Single 2.5mm Red mtrs,30.0
ELE014,Elec Cable Single 2.5mm Black mtrs,30.0
ELE015,Elec Cable Single 2.5mm Green Roll,0.0
ELE016,Elec Cable Single 2.5mm Red Roll,1.0
ELE018,Elec Cable Twin 1.5mm Roll Grey,4.0
ELE019,Elec Cable Twin 2.5mm Roll,4.0
ELE025,Elec Screws 4ba,0.0
ELE026,Elec Top Plug,17.0
ELE028,Electric Starter,0.0
ELE031,Elec Cable Single 1.5mm Black mtrs,20.0
ELE032,Elec Cable Single 1.5mm Green mtrs,0.0
ELE033,Elec Cable Single 2.5mm Black Roll,0.0
ELE034,Elec Cable Single 2.5mm Green mtrs,8.0
