code,description,avg_monthly_q1,april_qty,old_moq,new_moq
PLA002,Plain Sheet Roll 32g,2.3333333333333335,3.0,0.5833333333333334,0.75
PLA004,Plascon Ext Clear 5l,0.0,2.0,0.0,0.5
PLA007,Plascon Int Clear 1l,0.6666666666666666,0.0,0.16666666666666666,0.16666666666666666
PLA008,Plascon Int Clear 5l,0.6666666666666666,1.0,0.16666666666666666,0.25
PLA010,Plascon Int Mahogany 5l,1.0,5.0,0.25,1.25
PLA016,Plain sheet 30g mtrs,54.166666666666664,40.0,13.541666666666664,13.541666666666664
PLA017,Plain sheet 32g mtrs,29.666666666666668,44.0,7.416666666666667,11.0
PLA020,Plascon Int Pine 5l,0.0,0.0,0.0,0.0
PLA021,Plascon EXT Pine 5l,1.6666666666666667,0.0,0.4166666666666667,0.4166666666666667
PLA022,Plascon Woodcare Pine 1l,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333
PLA023,Plascon Woodcare Ext Pine 1l,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333
PLA024,Plascon Woodcare Int Teak 5l,0.0,0.0,0.0,0.0
PLA026,Plascon Woodcare Ext Teak 5l,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333
PLA027,Plascon Woodcare Ext Teak 1l,0.6666666666666666,0.0,0.16666666666666666,0.16666666666666666
PLI001,Pliers H.G,4.0,4.0,1.0,1.0
PLI003,Pliers Red,4.666666666666667,5.0,1.1666666666666667,1.25
PLI004,Stanley-Pliers Combination7'' dyna grBipO MAS,0.0,0.0,0.0,0.0
PLI005,Stanley-Pliers Circlip7'' Bent External,0.0,0.0,0.0,0.0
PLI006,"Stanley-Pliers circlip7"" straight internaBlOMAS",0.0,0.0,0.0,0.0
PLI007,Stanley-Pliears Combination8''DynagBripO.MAS,0.6666666666666666,0.0,0.16666666666666666,0.16666666666666666
PLI008,Stanley-Pliers End Nipper6,0.0,0.0,0.0,0.0
PLI009,Stanley-Pliers Mini -MultiTool,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333
PLU001,Plumb Line,1.3333333333333333,4.0,0.3333333333333333,1.0
PLY001,Plywood 3mm,49.0,31.0,12.25,12.25
PLY002,Plywood 6mm,43.666666666666664,31.0,10.916666666666666,10.916666666666666
PLY003,Plywood 9mm,22.333333333333332,13.0,5.583333333333333,5.583333333333333
POL003,Polythene Black 15kg,30.666666666666668,20.0,7.666666666666668,7.666666666666668
POL004,Polythene Black 20kg,71.0,103.0,17.75,25.75
POL005,Polythene Black Mtrs,189.0666666666667,259.0,47.26666666666667,64.75
POL006,Polythene Clear Mtrs,5.0,0.0,1.25,1.25
POL007,Polythene Clear Roll,1.6666666666666667,0.0,0.4166666666666667,0.4166666666666667
POL008,Polishing Pad,3.0,0.0,0.75,0.75
PON001,Ponal Glue 1/2l,1.6666666666666667,11.0,0.4166666666666667,2.75
PON002,Ponal Glue 1/4l,3.3333333333333335,8.0,0.8333333333333334,2.0
PON003,Ponal Glue 1l,7.666666666666667,1.0,1.916666666666667,1.916666666666667
PON005,Ponal Glue 4l,1.0,4.0,0.25,1.0
POP002,Pop Rivets 3/4,0.0,0.0,0.0,0.0
POP004,"Pop Up Waste Chrome 11/2""",1.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
POP005,Pop Up Waste Chrome 11/4,1.6666666666666667,4.0,0.4166666666666667,1.0
POU001,Poultry Mesh Blue,1.0,0.0,0.25,0.25
POU002,Poultry Mesh Green,0.6666666666666666,1.0,0.16666666666666666,0.25
POW001,Power Guard,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333
PPR001,Ppr Ball Cork 20mm,0.0,0.0,0.0,0.0
PPR002,Ppr Ball Cork 25mm,7.0,0.0,1.75,1.75
PPR003,Ppr Ball Cork 32mm,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333
PPR006,Ppr Ball Cork 63mm,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333
PPR007,Ppr Cup 20mm,1.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
PPR008,Ppr Cup 25mm,15.333333333333334,14.0,3.833333333333334,3.833333333333334
