code,description,qty_out
C/S046,C/S/G Pastel Base 1l,91.0
C/S047,C/S/G Pastel Base 4l,184.0
C/S048,C/S/G Roadline White 4l,13.0
C/S050,C/S/G Roadline Yellow 4l,3.0
C/S053,C/S/G Roof Green 4l,0.0
C/S057,C/S/G Roofmaster Clear Base,36.0
C/S058,C/S/G Ruff & Tuff 30l-Normal,396.0
C/S061,C/S/G Sanding Sealer 1l,34.0
C/S062,C/S/G Sanding Sealer 4l,100.0
C/S067,C/S/G Thinner For Roadline 1l,0.0
C/S068,C/S/G Thinner For Roadline 5L,10.0
C/S069,C/S/G Twopack Thinner 1l,1.0
C/S070,C/S/G Twopack Thinner 5l,28.0
C/S071,C/S/G Twopack V/Gloss 1l,13.0
C/S072,C/S/G Twopack V/Gloss 4l,38.0
C/S074,C/S/G Twopack V/Matt 4l,1.0
C/S075,C/S/G Undercoat 1l,34.0
C/S076,C/S/G Undercoat 4l,85.0
C/S077,C/S/G Varnish Mahogany 1L,20.0
C/S078,C/S/G Vesta Black 1l,5.0
C/S079,C/S/G Vesta Black 4l,4.0
C/S080,C/S/G Vesta Floor Red 4l,2.0
C/S081,C/S/G Vesta Grey Oxide 1l-primer,47.0
C/S083,C/S/G Vesta Red Oxide 1l,2.0
C/S084,C/S/G Vesta Red Oxide 4l,1.0
C/S085,C/S/G Vesta Roof Green 4l,0.0
C/S086,C/S/G Vesta White 1l,3.0
C/S087,C/S/G Vesta White 4l,1.0
C/S089,C/S/G Wood Primer White 4l,4.0
CAB001,Cable Clips 10mm,15.0
CAB002,Cable Clips 12mm,8.0
CAB003,Cable Clips 9mm,0.0
CAB005,Cable Clips Round 10mm,3.0
CAB006,Cable Ties 10,9.0
CAB007,Cable Ties 12,12.0
CAB008,Cable Ties 14,15.0
CAB009,Cable Ties 6,7.0
CAB010,Cable Ties 8,12.0
CAB011,Cable Ties Pcs,291.0
CAB013,"CABLE TIES 4""",0.0
CAB014,Cable Clips 8mm,6.0
CAL001,Caliper,0.0
CAN001,Canvas Fire hose 3x30m,2.0
CAR004,Carpet Brush,15.0
CEI001,Ceiling Board Flowered,36.0
CEI002,Ceiling Board Plain,59.0
CEM001,Cement In Kgs,156.5
CEN001,Center Stopper,66.0
CER002,Cerrazo 1l,7.0
CER003,Cerrazo 5l,10.0
CES002,C/E Silk Bril White 1Ltr,6.0
CES003,C/E Silk Bril White 4 ltr,16.0
CEV002,C/S/G Vesta Primer Grey Oxide 4l,60.0
CHA001,Chain 1/4,25.0
CHA002,Chain 3/16,13.0
CHA005,Chain Link 4ft,9.0
CHA006,Chain Link 5ft,15.0
CHA007,Chain Link 6ft,14.0
CHA008,Chain Link 7ft,10.0
CHA009,Chain Link 8ft,14.0
CHA011,Chair Rubber Square 1,1.0
CHA012,Chair Rubber Square 2,1.0
CHA013,Chair Rubber Square 3/4,2.0
CHA014,Chalk pcs,19.0
CHA015,Chalk Line,9.0
CHA016,Chalk Carton,16.0
CHA017,Chalk Pkt,0.0
CHE001,Chequered Plate 16g,6.0
CHE002,Chequered Plate 2mm,2.0
CHE004,Chequered Plate 4mm,33.0
CHI001,Chicken Wire 1/2x30 MTRS,88.5
CHI004,Chicken Wire Roll 1/2x30,78.0
CHI005,Chicken Wire Roll 1/2x6FT,4.0
CHI006,MDF Particle White,2.0
CHI008,Chisel 1/2,5.0
CHI009,Chisel 3/4,9.0
CHR001,Chrome Brackets 1,52.0
CHR002,Chrome Brackets 1/2,0.0
CHR003,Chrome Brackets 3/4,22.0
CHR004,Chrome Pipe 1,23.0
CHR005,Chrome Pipe 3/4,3.0
CIR002,Circular Blade 4.5,19.0
CIR003,Circular Blade 7,10.0
CIR004,Circular Blade 9,23.0
CIR006,Circular Box 2way,1.0
CIR007,Circular Box 3way 20mm,164.0
CIR008,Circular Box 3way 25mm,74.0
CIR009,Circular Box 4way 20mm,1728.0
CIR010,Circular Box 4way 25mm,205.0
CIR011,Circular Box 1 way 20MM,26.0
CIS004,Cistern High Lever,3.0
CIS005,Cistern Low Lever,6.0
CIS006,Cistern Top Flush,13.0
CLA001,Claw Bar 4ft,4.0
CLA002,Claw Bar 5ft,16.0
CLA003,Claw Bar 6ft,8.0
CLA004,Stanley-Claw Hammer 160z (453g)f/g,1.0
CLA005,Stanley-Claw Hammer 20oz,2.0
CLA006,Claw Hammer 27mm,10.0
CLE004,Clear Tape Big,20.0
CLE005,Clear Tape 2X20mts,0.0
CLO003,Close Couple Fitting Pvc,3.0
CLO004,Close Couple Set,15.0
CLO006,Cloth Line,12.0
COA001,Coast Calcium,93.0
COA002,Coat Hook Double,4.0
COA003,Coat Hook Single,3.0
COF001,Coffee Tray Roll,4.0
COF002,Coffee Tray Mtrs,94.5
COL001,Colorant Ext Orange,0.0
COL002,Colorant Ext Red,0.0
COL003,Colorant Ext Yellow,0.0
COL004,Colorant Fast Black,3.0
COL005,Colorant Fast Blue,0.0
COL006,Colorant Fast Green,0.0
COL007,Colorant Fast Magenta,0.0
COL008,Colorant Fast Red Oxide,0.0
COL009,Colorant Fast Violet,0.0
COL010,Colorant Fast Yellow Oxide,7.0
COL011,Colorant Ht Blue,1.0
COL012,Colorant Ht Green,0.0
COL013,Colorant Ht White,2.0
COL014,Colorant Int Red,0.0
COL015,Colorant Int Yellow,2.0
COL016,Colorant Tmed Yellow,1.0
COM001,Complete Hinges 1,62.0
CON006,Conduit Metro 20mm,5708.0
CON007,Conduit Metro 25mm,1814.0
CON008,Conduit Metro 32mm,434.0
CON009,Conduit Metro 38mm,68.0
CON010,Conduit Metro 50mm,106.0
CON012,Construction Net,30.0
CON013,Consumer Unit 10way,3.0
CON014,Consumer Unit 14way,0.0
CON015,Consumer Unit 4way,7.0
